graph,dijkstra_eq_floyd_warshall,fw_cost,dijkstra_cost,kruskal_eq_prim,kruskal_weight,prim_weight,component_nodes
graph_3DIqLl2D.pt,True,0.05969793004446411,0.05969793004446411,True,207.15337540654465,207.15337540654465,361
graph_I5OuEe6k.pt,True,0.6803980221680449,0.680398022168045,True,280.7939100309486,280.7939100309486,361
graph_sx141CXe.pt,True,0.08908206624441528,0.08908206624441528,True,241.3893784187342,241.38937841873417,361
graph_hBQxr58C.pt,True,0.001420141266418457,0.001420141266418457,True,340.58884318344155,340.58884318344155,361
graph_ChgQ1qu8.pt,True,0.2466244161524353,0.2466244161524353,True,263.03305399674474,263.03305399674474,361
graph_lYGN1UgC.pt,True,0.7757948090962218,0.7757948090962219,True,258.28564918700306,258.28564918700306,361
graph_wZXHcQXS.pt,True,0.0019263039098510741,0.0019263039098510741,True,349.24280371695374,349.24280371695374,361
graph_RSIcPYhd.pt,True,0.31603605055130013,0.31603605055130013,True,254.1604358448222,254.1604358448222,361
graph_gLzAp4k6.pt,True,0.11886459989004516,0.11886459989004516,True,227.9130285625185,227.91302856251846,361
graph_5JCluXCC.pt,True,0.07137918872290039,0.07137918872290039,True,233.24417167174815,233.24417167174815,361
graph_sJxpOJs3.pt,True,0.10818112296514892,0.10818112296514892,True,217.4984343404826,217.4984343404826,361
graph_CiSxq7TV.pt,True,0.0007290254102478028,0.0007290254102478028,True,349.60354449350575,349.60354449350575,361
graph_N10h7MaX.pt,True,0.1825343410437622,0.1825343410437622,True,219.65551443569672,219.65551443569672,361
graph_CNq1hUGr.pt,True,0.0005703578458557129,0.0005703578458557129,True,287.37652247476683,287.37652247476683,361
graph_Rowr79bu.pt,True,0.001376510666442871,0.001376510666442871,True,339.14118593061505,339.14118593061505,361
graph_xR3BfRMu.pt,True,0.32349968456542977,0.32349968456542977,True,230.33288144990263,230.33288144990257,361
graph_OEtVMmKJ.pt,True,0.6120924403599548,0.6120924403599548,True,253.8043758293822,253.8043758293822,361
graph_nlRvb9li.pt,True,0.11036694449835205,0.11036694449835205,True,223.16203400900838,223.16203400900838,361
graph_KvVJI8N9.pt,True,0.21097702187948608,0.21097702187948608,True,256.19429957291936,256.19429957291936,361
graph_xTZUf6aU.pt,True,0.052490237375,0.052490237375,True,235.32672325046443,235.32672325046445,361
graph_af74k78L.pt,True,0.0003038654790649414,0.0003038654790649414,True,336.48181052558164,336.4818105255816,361
graph_gYzAHKxD.pt,True,0.0013320456014404296,0.0013320456014404296,True,348.8533628560373,348.8533628560373,361
graph_9qOTWL8C.pt,True,0.0010967264638671874,0.0010967264638671874,True,330.4937659921868,330.4937659921868,361
graph_P555o9VI.pt,True,0.00030505757196044923,0.00030505757196044923,True,328.46275648660435,328.4627564866043,361
graph_GTlr0gee.pt,True,0.11125326556616211,0.11125326556616211,True,270.04315238825274,270.04315238825274,361
graph_MJ69vGyT.pt,True,0.00032913784844970705,0.00032913784844970705,True,329.7463917221613,329.7463917221613,361
graph_9cxHsJLl.pt,True,0.11749303740911865,0.11749303740911865,True,236.08812214372378,236.08812214372378,361
graph_dqeka0Zd.pt,True,0.030288878102996825,0.030288878102996825,True,233.34222305003826,233.34222305003817,361
graph_ZC7bM1vk.pt,True,0.6762836635508117,0.6762836635508117,True,271.470026704663,271.470026704663,361
graph_9NV36Uvw.pt,True,0.10916948718481445,0.10916948718481445,True,231.98892063202925,231.98892063202925,361
