graph,source,target,true_path_edges,gnn_jaccard,gnn_reached_target,heuristic_jaccard,heuristic_reached_target,uniform_jaccard,uniform_reached_target
graph_3DIqLl2D.pt,275,6,4,1.0,True,0.0,True,0.14285714285714285,True
graph_I5OuEe6k.pt,118,157,5,1.0,True,1.0,True,1.0,True
graph_sx141CXe.pt,124,6,4,1.0,True,0.14285714285714285,True,0.14285714285714285,True
graph_hBQxr58C.pt,105,174,1,1.0,True,1.0,True,1.0,True
graph_ChgQ1qu8.pt,120,162,6,0.3333333333333333,True,0.375,True,0.375,True
graph_lYGN1UgC.pt,144,170,5,1.0,True,1.0,True,1.0,True
graph_wZXHcQXS.pt,140,6,1,1.0,True,1.0,True,1.0,True
graph_RSIcPYhd.pt,137,6,6,0.0,True,0.0,True,0.1,True
graph_gLzAp4k6.pt,194,6,4,0.3333333333333333,True,0.14285714285714285,True,0.14285714285714285,True
graph_5JCluXCC.pt,110,164,4,0.14285714285714285,True,0.3333333333333333,True,0.14285714285714285,True
graph_sJxpOJs3.pt,201,166,4,1.0,True,0.14285714285714285,True,0.14285714285714285,True
graph_CiSxq7TV.pt,156,164,1,1.0,True,1.0,True,1.0,True
graph_N10h7MaX.pt,256,6,4,0.0,True,0.0,True,0.3333333333333333,True
graph_CNq1hUGr.pt,57,0,1,1.0,True,1.0,True,1.0,True
graph_Rowr79bu.pt,105,165,1,1.0,True,1.0,True,1.0,True
graph_xR3BfRMu.pt,170,215,5,1.0,True,0.0,True,0.0,True
graph_OEtVMmKJ.pt,138,6,7,0.2,True,0.2,True,0.09090909090909091,True
graph_nlRvb9li.pt,243,37,4,0.14285714285714285,True,0.3333333333333333,True,0.3333333333333333,True
graph_KvVJI8N9.pt,210,6,5,0.2857142857142857,True,0.2857142857142857,True,0.2857142857142857,True
graph_xTZUf6aU.pt,193,6,4,0.0,True,0.0,True,0.0,True
graph_af74k78L.pt,130,6,1,1.0,True,1.0,True,1.0,True
graph_gYzAHKxD.pt,233,6,1,1.0,True,1.0,True,1.0,True
graph_9qOTWL8C.pt,30,0,1,1.0,True,1.0,True,1.0,True
graph_P555o9VI.pt,219,6,1,1.0,True,1.0,True,1.0,True
graph_GTlr0gee.pt,206,6,4,1.0,True,1.0,True,1.0,True
graph_MJ69vGyT.pt,119,179,1,1.0,True,1.0,True,1.0,True
graph_9cxHsJLl.pt,139,258,4,0.0,True,0.3333333333333333,True,0.0,True
graph_dqeka0Zd.pt,139,6,3,1.0,True,1.0,True,1.0,True
graph_ZC7bM1vk.pt,102,164,6,1.0,True,0.1,True,0.1,True
graph_9NV36Uvw.pt,119,255,4,1.0,True,0.14285714285714285,True,0.14285714285714285,True
graph_FtZb7TNt.pt,154,6,4,0.14285714285714285,True,0.0,True,0.0,True
graph_jiajj6Z5.pt,101,162,4,1.0,True,1.0,True,1.0,True
graph_2TBuqvzT.pt,145,6,4,1.0,True,1.0,True,1.0,True
graph_3bS6tyXw.pt,131,162,5,1.0,True,1.0,True,1.0,True
graph_xOfGPbFf.pt,163,201,5,0.2857142857142857,True,0.2857142857142857,True,0.2857142857142857,True
graph_4jPuFW7p.pt,159,6,6,0.0,True,0.0,True,0.0,True
graph_MOZdYgNM.pt,97,148,1,1.0,True,1.0,True,1.0,True
graph_0V9GStgY.pt,111,9,1,1.0,True,1.0,True,1.0,True
graph_gutsyUA1.pt,105,164,3,1.0,True,1.0,True,1.0,True
graph_wMCjLOhg.pt,132,6,1,1.0,True,1.0,True,1.0,True
graph_g2aWzLeu.pt,101,0,7,0.3,True,0.0,True,0.0,True
graph_yDSNyTmV.pt,28,240,4,0.14285714285714285,True,1.0,True,1.0,True
graph_jSlQknvE.pt,28,139,4,0.0,True,0.14285714285714285,True,0.0,True
graph_2TUaAnn0.pt,89,153,5,0.2222222222222222,True,1.0,True,1.0,True
graph_pgzUXgjc.pt,157,158,7,0.09090909090909091,True,0.09090909090909091,True,0.09090909090909091,True
graph_SeaJ1wsU.pt,197,6,1,1.0,True,1.0,True,1.0,True
graph_tSxFhsFH.pt,173,0,4,0.14285714285714285,True,0.0,True,1.0,True
graph_tJl3uu6R.pt,170,0,4,0.0,True,0.0,True,0.0,True
graph_EAHHcrVU.pt,123,172,5,0.125,True,0.125,True,0.125,True
graph_K0Vtiv8s.pt,104,270,4,1.0,True,1.0,True,1.0,True
