epoch,train_loss,train_acc,train_auc,test_loss,test_acc,test_auc,lr,seconds,timestamp
1,1.020845,0.811275,0.821109,0.633359,0.949731,0.947933,0.001,60.93,2026-09-03T21:44:48
2,0.570897,0.916173,0.948204,0.4152,0.957783,0.976146,0.001,72.06,2026-09-03T21:46:00
3,0.464813,0.929103,0.965943,0.376994,0.954017,0.980784,0.001,101.71,2026-09-03T21:47:42
4,0.4289,0.934338,0.971281,0.358777,0.957003,0.98203,0.001,62.49,2026-09-03T21:48:44
5,0.404585,0.940173,0.97512,0.344422,0.934629,0.983243,0.001,46.83,2026-09-03T21:49:31
6,0.396781,0.934428,0.975666,0.328611,0.95602,0.984031,0.001,69.08,2026-09-03T21:50:40
7,0.373572,0.941321,0.978596,0.31429,0.955456,0.985393,0.001,50.71,2026-09-03T21:51:31
8,0.356052,0.943796,0.980555,0.305992,0.956231,0.985819,0.001,62.31,2026-09-03T21:52:33
9,0.346145,0.942431,0.981315,0.293521,0.947317,0.987381,0.001,50.02,2026-09-03T21:53:23
10,0.322756,0.944755,0.984023,0.28946,0.959674,0.987709,0.001,62.82,2026-09-03T21:54:26
11,0.318808,0.945119,0.98401,0.263231,0.95042,0.989393,0.001,66.01,2026-09-03T21:55:32
12,0.300088,0.948598,0.985897,0.255634,0.948991,0.990055,0.001,67.97,2026-09-03T21:56:40
13,0.292482,0.946142,0.986493,0.240966,0.952105,0.990838,0.001,59.18,2026-09-03T21:57:39
14,0.27752,0.949176,0.987603,0.236317,0.950694,0.991124,0.001,68.44,2026-09-03T21:58:48
15,0.258484,0.949402,0.989197,0.227642,0.946844,0.991782,0.001,42.95,2026-09-03T21:59:31
16,0.25192,0.949444,0.989462,0.221594,0.953547,0.992051,0.001,37.61,2026-09-03T22:00:08
17,0.25121,0.950483,0.989471,0.226404,0.941633,0.992034,0.001,29.07,2026-09-03T22:00:37
18,0.244,0.947471,0.990028,0.23492,0.965794,0.99174,0.001,40.82,2026-09-03T22:01:18
19,0.248187,0.951761,0.989812,0.222022,0.942822,0.992433,0.001,62.16,2026-09-03T22:02:20
20,0.237049,0.949216,0.990606,0.205244,0.950242,0.992911,0.001,76.02,2026-09-03T22:03:36
